                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3519,                 6.9295,                 2.4307,                      0,                      0,                      0,                      0,                 4.5732,                 12.762,                 2.9834,              1.071e-05,              1.071e-05,              1.071e-05
                      2,                 3.2759,                 6.9626,                  2.425,                      0,                      0,                      0,                      0,                 4.3914,                 9.8694,                 3.2161,             1.5149e-05,             1.5149e-05,             1.5149e-05
                      3,                 3.2382,                 6.7905,                 2.3757,                      0,                      0,                      0,                      0,                  4.381,                 10.495,                 3.1883,             1.1733e-05,             1.1733e-05,             1.1733e-05
