                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5469,                 3.0157,                 1.3368,                0.54364,                   0.95,                0.94228,                0.92176,                 0.5663,                 1.5425,                0.85064,              1.071e-05,              1.071e-05,              1.071e-05
                      2,                 1.3875,                 2.6341,                 1.2325,                0.49344,                    0.7,                0.91879,                0.84783,                0.67759,                 1.6169,                0.86347,             1.5149e-05,             1.5149e-05,             1.5149e-05
                      3,                 1.4522,                 2.1879,                 1.2265,                0.39996,                   0.95,                0.76762,                0.69303,                  0.746,                 1.6519,                0.87917,             1.1733e-05,             1.1733e-05,             1.1733e-05
